area_sq_km,county_fips,county_name,feature_count,share_of_mapped_area_pct,source_dates,zoning_class
1697.9808695859374,06001,Alameda,229,53.51776845128731,2021 q4;2022 q2,Agricultural
0.86124248828125,06001,Alameda,16,0.027145050273438127,2021 q4,Exurban residential
163.604982421875,06001,Alameda,133,5.156579631468983,2021 q4;2022 q2,Heavy Industrial
21.00790583203125,06001,Alameda,606,0.6621371654436029,2021 q4;2022 q2,High intensity commercial
68.79081838671875,06001,Alameda,369,2.1681817245047847,2021 q4;2022 q2,Light Industrial
48.81527082421875,06001,Alameda,875,1.5385829178949992,2021 q4;2022 q2,Low intensity commercial
26.7973913828125,06001,Alameda,371,0.8446129239804707,2009;2021;2021 q4;2022 q2,Mixed use
1.7310555625,06001,Alameda,11,0.05456023234983752,2021 q4,Mobile home
46.56447459375,06001,Alameda,1540,1.467641252031219,2009;2021;2021 q4;2022 q2,Multi-family
403.3988080234375,06001,Alameda,543,12.71451545068834,2021;2021 q4;2022 q2,Open Space
11.09907309375,06001,Alameda,109,0.3498258634681057,2021 q4;2022 q2,Other
237.36111146484376,06001,Alameda,1549,7.481260378282951,2009;2021 q4;2022 q2,Planned area
28.90608128125,06001,Alameda,344,0.9110756148985766,2009;2021;2021 q4;2022 q2,Public Quasi-Public
0.2971391328125,06001,Alameda,1,0.00936537248005246,2021 q4,Rural residential
261.65306429296874,06001,Alameda,2120,8.246905698540424,2009;2021;2021 q4;2022 q2,Suburban residential
153.87299652734376,06001,Alameda,3636,4.849842272406907,2009;2021 q4;2022 q2,Urban residential
1620.1397788828126,06013,Contra Costa,424,53.98672934002452,2017;2021 q4;2022 q2;2022 q3,Agricultural
3.10762487890625,06013,Contra Costa,12,0.10355310413001921,2021 q4;2022 q2;2022 q3,Exurban residential
96.01190803515625,06013,Contra Costa,72,3.19933437847416,2021 q4;2022 q2;2022 q3,Heavy Industrial
15.13553298828125,06013,Contra Costa,288,0.5043502625550039,2010;2019;2021 q4;2022 q1;2022 q2;2022 q3,High intensity commercial
